"任务编号","题目ID","题目数据","题目状态","标注人","标注时间","是否有效","无效原因","标注答案"
"608033728974499840	","608022006058483712	","{""id"": ""1292"", ""tag"": ""蓝马鸡"", ""url"": ""https://aidata-1258344706.cos.ap-guangzhou.myqcloud.com/target/resource/607946138525167616/607947459493924864_00015-0001.jpg?q-sign-algorithm=sha1&q-ak=AKID-zHZFlww-rXBZL3vU0--R7OEsAm8ZMPBbjgVozDn26CWO1zPOii0w4yJgMuRsuIT&q-sign-time=1625113231;1625372431&q-key-time=1625113231;1625372431&q-header-list=&q-url-param-list=&q-signature=03c5499a5e39c750ecc8d30e6006848dfad7958e&x-cos-security-token=f8R33Ych2nIgnJWU0fO2jYYseUjEYY2a6827d657dd9769bcc87d5437d48fc8e3VaC13eq7yKcvisbvjeGoDLDv7IWf5ruDH8TT9-QfzF9eZjJcXIZnMV88lr4bFLvCjYUP5cxADFI4Fz5j7bUBmcIPFQeidUOjbLZWfiKBQzOBBZtWCucmHymXDKV1j2pnQo9L25LwwlWg0WQI7aM6xIU0hRWqnSV3ApM6eCLFRV79TWC4a-OAElJw0T-Zm6uEP7HCWRsgh_9YoQzhjRpO9bbX58Scl0tV2B7Qgd0BqGrZIRKbxnB7weKbkvzMtWxByG2hZewYdUlZVizNniPNDJ0UwnPvmdrSbq0cMRYWLBRX0CNhAMnylKdQjHiQuNc6QbjYTisECHps3NvoAJHh-w"", ""Path"": ""top14-p5/lanmaji/frames/00015-0001.jpg"", ""video_url"": ""None"", ""video_path"": ""top14-p5/lanmaji/videos/00015.AVI""}","通过质检","酸不死伱","2021-07-02 21:43:47.0","是","","{""tags"":[],""objects"":[{""type"":""image/rect"",""data"":[{""x"":311.96,""y"":370.98},{""x"":449.39,""y"":370.98},{""x"":449.39,""y"":548.49},{""x"":311.96,""y"":548.49}],""tags"":[{""name"":""物体检测试标"",""label"":""多选"",""value"":[""目标类别物体出现比例-全部出现""]}],""featureId"":""feature-j8ZYhETz"",""color"":""#607D8B"",""name"":""目标类别物体出现比例-全部出现""}]}"
"608033728974499840	","608022006058483713	","{""id"": ""1293"", ""tag"": ""蓝马鸡"", ""url"": ""https://aidata-1258344706.cos.ap-guangzhou.myqcloud.com/target/resource/607946138525167616/607947459493924865_00015-0002.jpg?q-sign-algorithm=sha1&q-ak=AKID5Pg56vJ-hwzhII7AlUM00isoRsWBXN3Qmp0DKWr5RrXNy7EsrQEA7KA-L8lY0jvo&q-sign-time=1625113231;1625372431&q-key-time=1625113231;1625372431&q-header-list=&q-url-param-list=&q-signature=049d83c886f959be2828447f9e49c4b6a4877a76&x-cos-security-token=K6Q8xOwyR6xmlE4mK84dZ0yf6kRyHr7abb5eb07dbe8e176822fddd2e381ef672qx3Lnew6f7h5Vle8xLbUxQeod7j4mAlpf2odc5U9nSre2AjYJdcZMHjOGHwVs_fiOdndECgHCf6qTtVDugOSP-pyhnIzCuabV82PW9jD6dISHv6EscYgLp6ev1UbilDqsMqFykCtrN-GyNXJDEgT3WyWQQrMmdmIQCOc5Z7ZQZoNzXN-6aoAMUDpy4vRNtXLqGci-GYdb6ymcMXZ4oZLGNf-ZRq12pD3fYW_TnkDayBNJhnzlqD_mVhqQQwZmqCbrE0un0F8PRqZVZWSDo0hgTyFF6IAv73VCTEXVj9CLMVWrKYyqyjgcfJ1gbfQXGCvTRnEHibyc8oSAPTqCgN2Mw"", ""Path"": ""top14-p5/lanmaji/frames/00015-0002.jpg"", ""video_url"": ""None"", ""video_path"": ""top14-p5/lanmaji/videos/00015.AVI""}","通过质检","沫子","2021-07-02 21:44:05.0","是","","{""tags"":[],""objects"":[{""type"":""image/rect"",""data"":[{""x"":309.32,""y"":373.17},{""x"":446.56,""y"":373.17},{""x"":446.56,""y"":535.14},{""x"":309.32,""y"":535.14}],""tags"":[{""name"":""物体检测试标"",""label"":""多选"",""value"":[""目标类别物体出现比例-全部出现""]}],""featureId"":""feature-G0GNhD6T"",""color"":""#607D8B"",""name"":""目标类别物体出现比例-全部出现""}]}"
"608033728974499840	","608022006058483714	","{""id"": ""1294"", ""tag"": ""蓝马鸡"", ""url"": ""https://aidata-1258344706.cos.ap-guangzhou.myqcloud.com/target/resource/607946138525167616/607947459493924866_00015-0003.jpg?q-sign-algorithm=sha1&q-ak=AKIDCcLb8yGmQ4nhMV7d-FTV501Mksay6mpR2_-9Q9QLPeMnwZ4jCFY1LpaLGdfsP75W&q-sign-time=1625113231;1625372431&q-key-time=1625113231;1625372431&q-header-list=&q-url-param-list=&q-signature=eef69aa30a5e94b7f593f82685e9d464b520ac57&x-cos-security-token=K6Q8xOwyR6xmlE4mK84dZ0yf6kRyHr7aa7e14699674f63388ff23427d740a13fqx3Lnew6f7h5Vle8xLbUxQeod7j4mAlpf2odc5U9nSre2AjYJdcZMHjOGHwVs_fiOdndECgHCf6qTtVDugOSP-pyhnIzCuabV82PW9jD6dISHv6EscYgLp6ev1UbilDqsMqFykCtrN-GyNXJDEgT3WyWQQrMmdmIQCOc5Z7ZQZoNzXN-6aoAMUDpy4vRNtXLqGci-GYdb6ymcMXZ4oZLGNf-ZRq12pD3fYW_TnkDayBNJhnzlqD_mVhqQQwZmqCbrE0un0F8PRqZVZWSDo0hgTyFF6IAv73VCTEXVj9CLMXCe8OCpOkujsOkGWNLbo64lppbb3DI7jkJw9hrW4txPA"", ""Path"": ""top14-p5/lanmaji/frames/00015-0003.jpg"", ""video_url"": ""None"", ""video_path"": ""top14-p5/lanmaji/videos/00015.AVI""}","通过质检","陶叶","2021-07-02 21:43:32.0","是","","{""tags"":[],""objects"":[{""type"":""image/rect"",""data"":[{""x"":180.8,""y"":324.63},{""x"":331.67,""y"":324.63},{""x"":331.67,""y"":474.25},{""x"":180.8,""y"":474.25}],""tags"":[{""name"":""物体检测试标"",""label"":""多选"",""value"":[""目标类别物体出现比例-全部出现""]}],""featureId"":""feature-TOLFmYxt"",""color"":""#607D8B"",""name"":""目标类别物体出现比例-全部出现""}]}"
"608033728974499840	","608022006058483715	","{""id"": ""1295"", ""tag"": ""蓝马鸡"", ""url"": ""https://aidata-1258344706.cos.ap-guangzhou.myqcloud.com/target/resource/607946138525167616/607947459493924867_00015-0004.jpg?q-sign-algorithm=sha1&q-ak=AKIDysMagoma51ZX4tsLmvRYFa9JxJhl8kcqmV55irdqvI3-wo1ffhRj7zFesDcMsQjR&q-sign-time=1625113231;1625372431&q-key-time=1625113231;1625372431&q-header-list=&q-url-param-list=&q-signature=14375704cdde4a4f86b5af429cc2b141ef75e696&x-cos-security-token=K6Q8xOwyR6xmlE4mK84dZ0yf6kRyHr7afdc9635bd3eb62817e90b5a58679ab80qx3Lnew6f7h5Vle8xLbUxQeod7j4mAlpf2odc5U9nSre2AjYJdcZMHjOGHwVs_fiOdndECgHCf6qTtVDugOSP-pyhnIzCuabV82PW9jD6dISHv6EscYgLp6ev1UbilDqsMqFykCtrN-GyNXJDEgT3WyWQQrMmdmIQCOc5Z7ZQZoNzXN-6aoAMUDpy4vRNtXLqGci-GYdb6ymcMXZ4oZLGNf-ZRq12pD3fYW_TnkDayBNJhnzlqD_mVhqQQwZmqCbrE0un0F8PRqZVZWSDo0hgTyFF6IAv73VCTEXVj9CLMXSxDYl9zGODZVQaS_IGjH_bykf_fWJahxtBg5aVSb1mw"", ""Path"": ""top14-p5/lanmaji/frames/00015-0004.jpg"", ""video_url"": ""None"", ""video_path"": ""top14-p5/lanmaji/videos/00015.AVI""}","通过质检","酸不死伱","2021-07-02 21:43:30.0","是","","{""tags"":[],""objects"":[{""type"":""image/rect"",""data"":[{""x"":83.05,""y"":286.27},{""x"":197.99,""y"":286.27},{""x"":197.99,""y"":417.99},{""x"":83.05,""y"":417.99}],""tags"":[{""name"":""物体检测试标"",""label"":""多选"",""value"":[""目标类别物体出现比例-全部出现""]}],""featureId"":""feature-34TjxJvZ"",""color"":""#607D8B"",""name"":""目标类别物体出现比例-全部出现""}]}"
"608033728974499840	","608022006058483716	","{""id"": ""1296"", ""tag"": ""蓝马鸡"", ""url"": ""https://aidata-1258344706.cos.ap-guangzhou.myqcloud.com/target/resource/607946138525167616/607947459493924868_00015-0005.jpg?q-sign-algorithm=sha1&q-ak=AKIDknLChnXNM3zfIjmVi9zznvDVOOD5H53bk8t2wVGsS6cm9EvANXJ-D7ORCIUN1_Jx&q-sign-time=1625113231;1625372431&q-key-time=1625113231;1625372431&q-header-list=&q-url-param-list=&q-signature=c74a51940688e19a526270ea2f98abd54e1eb27e&x-cos-security-token=f8R33Ych2nIgnJWU0fO2jYYseUjEYY2aa5813a4c57af0c259a8e5281ef25ec5fVaC13eq7yKcvisbvjeGoDLDv7IWf5ruDH8TT9-QfzF9eZjJcXIZnMV88lr4bFLvCjYUP5cxADFI4Fz5j7bUBmcIPFQeidUOjbLZWfiKBQzOBBZtWCucmHymXDKV1j2pnQo9L25LwwlWg0WQI7aM6xIU0hRWqnSV3ApM6eCLFRV79TWC4a-OAElJw0T-Zm6uEP7HCWRsgh_9YoQzhjRpO9bbX58Scl0tV2B7Qgd0BqGrZIRKbxnB7weKbkvzMtWxByG2hZewYdUlZVizNniPNDJ0UwnPvmdrSbq0cMRYWLBSANPdnXA63-wo-izOgESv6LyTuWEjvG0B77J5GJ0Cnfw"", ""Path"": ""top14-p5/lanmaji/frames/00015-0005.jpg"", ""video_url"": ""None"", ""video_path"": ""top14-p5/lanmaji/videos/00015.AVI""}","通过质检","陶叶","2021-07-02 21:43:16.0","是","","{""tags"":[],""objects"":[{""type"":""image/rect"",""data"":[{""x"":0.65,""y"":251.7},{""x"":103.9,""y"":251.7},{""x"":103.9,""y"":386.68},{""x"":0.65,""y"":386.68}],""tags"":[{""name"":""物体检测试标"",""label"":""多选"",""value"":[""目标类别物体出现比例-部分出现""]}],""featureId"":""feature-NpV5A4gG"",""color"":""#0D94AA"",""name"":""目标类别物体出现比例-部分出现""}]}"
"608033728974499840	","608022006058483717	","{""id"": ""1297"", ""tag"": ""蓝马鸡"", ""url"": ""https://aidata-1258344706.cos.ap-guangzhou.myqcloud.com/target/resource/607946138525167616/607947459493924869_00015-0006.jpg?q-sign-algorithm=sha1&q-ak=AKIDsBuVHQ4LF22NIhKKAkU6rDwEdoKGyRt4Wq9g6CNLtEiERnQkOndcmJFVz3HC706Y&q-sign-time=1625113231;1625372431&q-key-time=1625113231;1625372431&q-header-list=&q-url-param-list=&q-signature=8d373ad3ba39353bffc50230b83cd8113f15991f&x-cos-security-token=K6Q8xOwyR6xmlE4mK84dZ0yf6kRyHr7ace20c1fcd81eafb2f0d455909d5dbf2dqx3Lnew6f7h5Vle8xLbUxQeod7j4mAlpf2odc5U9nSre2AjYJdcZMHjOGHwVs_fiOdndECgHCf6qTtVDugOSP-pyhnIzCuabV82PW9jD6dISHv6EscYgLp6ev1UbilDqsMqFykCtrN-GyNXJDEgT3WyWQQrMmdmIQCOc5Z7ZQZoNzXN-6aoAMUDpy4vRNtXLqGci-GYdb6ymcMXZ4oZLGNf-ZRq12pD3fYW_TnkDayBNJhnzlqD_mVhqQQwZmqCbrE0un0F8PRqZVZWSDo0hgTyFF6IAv73VCTEXVj9CLMX9OZyKXGIEe5kqpiqmuEK8tRBq4HiyVEN7bqm3eHvWWw"", ""Path"": ""top14-p5/lanmaji/frames/00015-0006.jpg"", ""video_url"": ""None"", ""video_path"": ""top14-p5/lanmaji/videos/00015.AVI""}","通过质检","陶叶","2021-07-02 21:43:01.0","否","无目标","{}"
"608033728974499840	","608022006058483718	","{""id"": ""1298"", ""tag"": ""蓝马鸡"", ""url"": ""https://aidata-1258344706.cos.ap-guangzhou.myqcloud.com/target/resource/607946138525167616/607947459493924870_00015-0007.jpg?q-sign-algorithm=sha1&q-ak=AKID-zHZFlww-rXBZL3vU0--R7OEsAm8ZMPBbjgVozDn26CWO1zPOii0w4yJgMuRsuIT&q-sign-time=1625113231;1625372431&q-key-time=1625113231;1625372431&q-header-list=&q-url-param-list=&q-signature=740d1da925722ac16e8507fc73c6415959c8960d&x-cos-security-token=f8R33Ych2nIgnJWU0fO2jYYseUjEYY2a6827d657dd9769bcc87d5437d48fc8e3VaC13eq7yKcvisbvjeGoDLDv7IWf5ruDH8TT9-QfzF9eZjJcXIZnMV88lr4bFLvCjYUP5cxADFI4Fz5j7bUBmcIPFQeidUOjbLZWfiKBQzOBBZtWCucmHymXDKV1j2pnQo9L25LwwlWg0WQI7aM6xIU0hRWqnSV3ApM6eCLFRV79TWC4a-OAElJw0T-Zm6uEP7HCWRsgh_9YoQzhjRpO9bbX58Scl0tV2B7Qgd0BqGrZIRKbxnB7weKbkvzMtWxByG2hZewYdUlZVizNniPNDJ0UwnPvmdrSbq0cMRYWLBRX0CNhAMnylKdQjHiQuNc6QbjYTisECHps3NvoAJHh-w"", ""Path"": ""top14-p5/lanmaji/frames/00015-0007.jpg"", ""video_url"": ""None"", ""video_path"": ""top14-p5/lanmaji/videos/00015.AVI""}","通过质检","陶叶","2021-07-02 21:42:55.0","否","无目标","{}"
"608033728974499840	","608022006058483719	","{""id"": ""1299"", ""tag"": ""蓝马鸡"", ""url"": ""https://aidata-1258344706.cos.ap-guangzhou.myqcloud.com/target/resource/607946138525167616/607947459493924871_00015-0008.jpg?q-sign-algorithm=sha1&q-ak=AKIDwDKdcZz__E_2rLnJG3RAV6uamSU-Ajrm4YSCKR4maNhzguDHPtmfxOMUowS9ZiYw&q-sign-time=1625113231;1625372431&q-key-time=1625113231;1625372431&q-header-list=&q-url-param-list=&q-signature=403ce3d985493182bf46868226cc186ec6e7892a&x-cos-security-token=K6Q8xOwyR6xmlE4mK84dZ0yf6kRyHr7ad609869e0f3226d2d7905084086d1136qx3Lnew6f7h5Vle8xLbUxQeod7j4mAlpf2odc5U9nSre2AjYJdcZMHjOGHwVs_fiOdndECgHCf6qTtVDugOSP-pyhnIzCuabV82PW9jD6dISHv6EscYgLp6ev1UbilDqsMqFykCtrN-GyNXJDEgT3WyWQQrMmdmIQCOc5Z7ZQZoNzXN-6aoAMUDpy4vRNtXLqGci-GYdb6ymcMXZ4oZLGNf-ZRq12pD3fYW_TnkDayBNJhnzlqD_mVhqQQwZmqCbrE0un0F8PRqZVZWSDo0hgTyFF6IAv73VCTEXVj9CLMVbxCL6y3fCG6AOU3DB_TqAWKNkMcWHVqEt2Re5FnmbjQ"", ""Path"": ""top14-p5/lanmaji/frames/00015-0008.jpg"", ""video_url"": ""None"", ""video_path"": ""top14-p5/lanmaji/videos/00015.AVI""}","通过质检","陶叶","2021-07-02 21:42:50.0","否","无目标","{}"
"608033728974499840	","608022006058483720	","{""id"": ""1300"", ""tag"": ""蓝马鸡"", ""url"": ""https://aidata-1258344706.cos.ap-guangzhou.myqcloud.com/target/resource/607946138525167616/607947459493924872_00015-0009.jpg?q-sign-algorithm=sha1&q-ak=AKIDGsdvw6EI8YvChcqdrxBt5E_G6JAyqkmmR7b_NEE5Kd50sOJaa7Gmi7VV9vSPQjjg&q-sign-time=1625113231;1625372431&q-key-time=1625113231;1625372431&q-header-list=&q-url-param-list=&q-signature=c852632138d3b9a9617fee80fb5a95ce5abaeba2&x-cos-security-token=K6Q8xOwyR6xmlE4mK84dZ0yf6kRyHr7aace6b5d8a4070e876674967cc8a02139qx3Lnew6f7h5Vle8xLbUxQeod7j4mAlpf2odc5U9nSre2AjYJdcZMHjOGHwVs_fiOdndECgHCf6qTtVDugOSP-pyhnIzCuabV82PW9jD6dISHv6EscYgLp6ev1UbilDqsMqFykCtrN-GyNXJDEgT3WyWQQrMmdmIQCOc5Z7ZQZoNzXN-6aoAMUDpy4vRNtXLqGci-GYdb6ymcMXZ4oZLGNf-ZRq12pD3fYW_TnkDayBNJhnzlqD_mVhqQQwZmqCbrE0un0F8PRqZVZWSDo0hgTyFF6IAv73VCTEXVj9CLMUnppkjM5FXAdHaAU0YFUTwDDv8doZTZSRVqsVynK4a9Q"", ""Path"": ""top14-p5/lanmaji/frames/00015-0009.jpg"", ""video_url"": ""None"", ""video_path"": ""top14-p5/lanmaji/videos/00015.AVI""}","通过质检","陶叶","2021-07-02 21:42:44.0","否","无目标","{}"
"608033728974499840	","608022006058483721	","{""id"": ""1301"", ""tag"": ""蓝马鸡"", ""url"": ""https://aidata-1258344706.cos.ap-guangzhou.myqcloud.com/target/resource/607946138525167616/607947459493924873_00015-0010.jpg?q-sign-algorithm=sha1&q-ak=AKIDLtxvcdTL2TlEreih0DinNBdFSLEwEKdunKITVRdbjuvmLpimzeaR6ki4dw4w_Br4&q-sign-time=1625113231;1625372431&q-key-time=1625113231;1625372431&q-header-list=&q-url-param-list=&q-signature=0fde7a458c5fe43b0f18c9da109c70aa34daca3e&x-cos-security-token=f8R33Ych2nIgnJWU0fO2jYYseUjEYY2aca4114b5ab3e741aff3fece5a0a9b97dVaC13eq7yKcvisbvjeGoDLDv7IWf5ruDH8TT9-QfzF9eZjJcXIZnMV88lr4bFLvCjYUP5cxADFI4Fz5j7bUBmcIPFQeidUOjbLZWfiKBQzOBBZtWCucmHymXDKV1j2pnQo9L25LwwlWg0WQI7aM6xIU0hRWqnSV3ApM6eCLFRV79TWC4a-OAElJw0T-Zm6uEP7HCWRsgh_9YoQzhjRpO9bbX58Scl0tV2B7Qgd0BqGrZIRKbxnB7weKbkvzMtWxByG2hZewYdUlZVizNniPNDJ0UwnPvmdrSbq0cMRYWLBSvrP9l6RJkM9rQ-yLLiidd_CWpIbuS-TQSXYjzoQ8nSw"", ""Path"": ""top14-p5/lanmaji/frames/00015-0010.jpg"", ""video_url"": ""None"", ""video_path"": ""top14-p5/lanmaji/videos/00015.AVI""}","通过质检","陶叶","2021-07-02 21:42:37.0","否","无目标","{}"
