video_path,cate,modality
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00001.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00002.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00003.MP4,baichunlu,Infra
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00004.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00005.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00006.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00007.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00008.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00009.MP4,baichunlu,Infra
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00010.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00011.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00012.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00013.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00014.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00015.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00016.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00017.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00018.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00019.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00020.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00021.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00022.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00023.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00024.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00025.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00026.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00027.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00028.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00029.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00030.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00031.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00032.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00033.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00034.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00035.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00036.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00037.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00038.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00039.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00040.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00041.MP4,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00042.MOV,baichunlu,Infra
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00043.MOV,baichunlu,Infra
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00044.MOV,baichunlu,Infra
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00045.MOV,baichunlu,Infra
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00046.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00047.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00048.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00049.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00050.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00051.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00052.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00053.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00054.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00055.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00056.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00057.AVI,baichunlu,RGB
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00058.AVI,baichunlu,Infra
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00059.AVI,baichunlu,Infra
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00060.AVI,baichunlu,Infra
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00061.AVI,baichunlu,Infra
D:/WWF_Det/WWF_Data/Raw_Data/top14-all/baichunlu/videos/00062.AVI,baichunlu,Infra
